,File name,Fragment,Charge,Multiplicity,Absorption Wavelength,Oscillator Strength
3,BTZ-Neutral-wb97xd-1000,CCOCN(C(C)=O)c1c(OC)c(C#N)c([N+](=O)[O-])c2nsnc12,0,1,381.65,0.2639
4,BTZ-Neutral-wb97xd-1001,CCOCN(C(C)=O)c1c(OC)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12,0,1,354.74,0.2643
5,BTZ-Neutral-wb97xd-1002,CCOCN(C(C)=O)c1c(OC)c(OC)c(C)c2nsnc12,0,1,334.28,0.1564
6,BTZ-Neutral-wb97xd-1003,CCOCN(C(C)=O)c1c(OC)c(OC)c(C(F)(F)F)c2nsnc12,0,1,319.72,0.1823
7,BTZ-Neutral-wb97xd-1004,CCOCN(C(C)=O)c1c(OC)c(OC)c(C#N)c2nsnc12,0,1,336.77,0.318
8,BTZ-Neutral-wb97xd-1005,CCOCN(C(C)=O)c1c(OC)c(OC)c(OC)c2nsnc12,0,1,335.4,0.1433
9,BTZ-Neutral-wb97xd-1006,CCOCN(C(C)=O)c1c(OC)c(OC)c(OC(F)(F)F)c2nsnc12,0,1,328.5,0.1575
10,BTZ-Neutral-wb97xd-1007,CCOCN(C(C)=O)c1c(OC)c(OC)c(SC)c2nsnc12,0,1,360.74,0.1809
11,BTZ-Neutral-wb97xd-1008,CCOCN(C(C)=O)c1c(OC)c(OC)c(SC(F)(F)F)c2nsnc12,0,1,323.24,0.2028
12,BTZ-Neutral-wb97xd-1009,CCOCN(C(C)=O)c1c(OC)c(OC)c(Br)c2nsnc12,0,1,334.82,0.1984
14,BTZ-Neutral-wb97xd-1010,CCOCN(C(C)=O)c1c(OC)c(OC)c(N(C)C)c2nsnc12,0,1,401.25,0.1791
15,BTZ-Neutral-wb97xd-1011,CCOCN(C(C)=O)c1c(OC)c(OC)c([N+](=O)[O-])c2nsnc12,0,1,351.57,0.1869
16,BTZ-Neutral-wb97xd-1012,CCOCN(C(C)=O)c1c(OC)c(OC)c(S(=O)(=O)N(C)C)c2nsnc12,0,1,320.18,0.3136
17,BTZ-Neutral-wb97xd-1013,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C)c2nsnc12,0,1,332.86,0.1884
18,BTZ-Neutral-wb97xd-1014,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C(F)(F)F)c2nsnc12,0,1,327.78,0.2368
19,BTZ-Neutral-wb97xd-1015,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C#N)c2nsnc12,0,1,363.43,0.3366
20,BTZ-Neutral-wb97xd-1016,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(OC)c2nsnc12,0,1,359.58,0.18
21,BTZ-Neutral-wb97xd-1017,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(OC(F)(F)F)c2nsnc12,0,1,334.43,0.2277
22,BTZ-Neutral-wb97xd-1018,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(SC)c2nsnc12,0,1,353.4,0.1945
23,BTZ-Neutral-wb97xd-1019,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,0,1,311.39,0.3056
25,BTZ-Neutral-wb97xd-1020,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(Br)c2nsnc12,0,1,321.78,0.2449
26,BTZ-Neutral-wb97xd-1021,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(N(C)C)c2nsnc12,0,1,418.95,0.2542
27,BTZ-Neutral-wb97xd-1022,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc12,0,1,332.19,0.1804
28,BTZ-Neutral-wb97xd-1023,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,0,1,335.26,0.3133
