,File Name,SMILES,Solvent Free Energy,GasPhase Free Energy,Solvation Energy (eV)
3,BTZ-Neutral-wb97xd-1000,CCOCN(C(C)=O)c1c(OC)c(C#N)c([N+](=O)[O-])c2nsnc12,-1550.584017,-1550.554961,-0.7906137599960539
4,BTZ-Neutral-wb97xd-1001,CCOCN(C(C)=O)c1c(OC)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12,-2028.5408300000001,-2028.5005170000002,-1.0969167299991613
5,BTZ-Neutral-wb97xd-1002,CCOCN(C(C)=O)c1c(OC)c(OC)c(C)c2nsnc12,-1407.69784,-1407.669166,-0.7802195400037363
6,BTZ-Neutral-wb97xd-1003,CCOCN(C(C)=O)c1c(OC)c(OC)c(C(F)(F)F)c2nsnc12,-1705.37258,-1705.345482,-0.7373365800006423
7,BTZ-Neutral-wb97xd-1004,CCOCN(C(C)=O)c1c(OC)c(OC)c(C#N)c2nsnc12,-1460.6263099999999,-1460.595874,-0.8281635599940523
8,BTZ-Neutral-wb97xd-1005,CCOCN(C(C)=O)c1c(OC)c(OC)c(OC)c2nsnc12,-1482.867349,-1482.843059,-0.6609309000017561
9,BTZ-Neutral-wb97xd-1006,CCOCN(C(C)=O)c1c(OC)c(OC)c(OC(F)(F)F)c2nsnc12,-1780.566347,-1780.543068,-0.6334215900000618
10,BTZ-Neutral-wb97xd-1007,CCOCN(C(C)=O)c1c(OC)c(OC)c(SC)c2nsnc12,-1805.8615929999999,-1805.835958,-0.6975283499990655
11,BTZ-Neutral-wb97xd-1008,CCOCN(C(C)=O)c1c(OC)c(OC)c(SC(F)(F)F)c2nsnc12,-2103.5366719999997,-2103.51023,-0.7194868199962139
12,BTZ-Neutral-wb97xd-1009,CCOCN(C(C)=O)c1c(OC)c(OC)c(Br)c2nsnc12,-3939.574939,-3939.547604,-0.7437853500060146
14,BTZ-Neutral-wb97xd-1010,CCOCN(C(C)=O)c1c(OC)c(OC)c(N(C)C)c2nsnc12,-1502.275539,-1502.2457029999998,-0.8118375600043374
15,BTZ-Neutral-wb97xd-1011,CCOCN(C(C)=O)c1c(OC)c(OC)c([N+](=O)[O-])c2nsnc12,-1572.8432380000002,-1572.811729,-0.857359890003861
16,BTZ-Neutral-wb97xd-1012,CCOCN(C(C)=O)c1c(OC)c(OC)c(S(=O)(=O)N(C)C)c2nsnc12,-2050.796039,-2050.7550260000003,-1.1159637299881933
17,BTZ-Neutral-wb97xd-1013,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C)c2nsnc12,-1705.3930899999998,-1705.367911,-0.6851205899932711
18,BTZ-Neutral-wb97xd-1014,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C(F)(F)F)c2nsnc12,-2003.065163,-2003.0405859999998,-0.6687401700036936
19,BTZ-Neutral-wb97xd-1015,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(C#N)c2nsnc12,-1758.3145969999998,-1758.287364,-0.7410099299944614
20,BTZ-Neutral-wb97xd-1016,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(OC)c2nsnc12,-1780.5651059999998,-1780.5392829999998,-0.7026438299985239
21,BTZ-Neutral-wb97xd-1017,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(OC(F)(F)F)c2nsnc12,-2078.260764,-2078.239127,-0.5887427700076887
22,BTZ-Neutral-wb97xd-1018,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(SC)c2nsnc12,-2103.556692,-2103.5314489999996,-0.6868620300136218
23,BTZ-Neutral-wb97xd-1019,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(SC(F)(F)F)c2nsnc12,-2401.228225,-2401.198045,-0.8211977999930787
25,BTZ-Neutral-wb97xd-1020,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(Br)c2nsnc12,-4237.2696240000005,-4237.241623,-0.7619072100159429
26,BTZ-Neutral-wb97xd-1021,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(N(C)C)c2nsnc12,-1799.981822,-1799.957588,-0.6594071399994164
27,BTZ-Neutral-wb97xd-1022,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c([N+](=O)[O-])c2nsnc12,-1870.533807,-1870.5049629999999,-0.7848452400044312
28,BTZ-Neutral-wb97xd-1023,CCOCN(C(C)=O)c1c(OC)c(OC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,-2348.486461,-2348.450268,-0.9848115299976052
29,BTZ-Neutral-wb97xd-1024,CCOCN(C(C)=O)c1c(OC)c(SC)c(C)c2nsnc12,-1730.68517,-1730.657384,-0.7560570599966855
30,BTZ-Neutral-wb97xd-1025,CCOCN(C(C)=O)c1c(OC)c(SC)c(C(F)(F)F)c2nsnc12,-2028.355178,-2028.325572,-0.8055792600015775
31,BTZ-Neutral-wb97xd-1026,CCOCN(C(C)=O)c1c(OC)c(SC)c(C#N)c2nsnc12,-1783.6080120000001,-1783.5790530000002,-0.7879743899996242
32,BTZ-Neutral-wb97xd-1027,CCOCN(C(C)=O)c1c(OC)c(SC)c(OC)c2nsnc12,-1805.8569149999998,-1805.8309329999997,-0.7069702200030679
33,BTZ-Neutral-wb97xd-1028,CCOCN(C(C)=O)c1c(OC)c(SC)c(OC(F)(F)F)c2nsnc12,-2103.5556899999997,-2103.530438,-0.6871069199975364
34,BTZ-Neutral-wb97xd-1029,CCOCN(C(C)=O)c1c(OC)c(SC)c(SC)c2nsnc12,-2128.8477329999996,-2128.821571,-0.7118680199907021
36,BTZ-Neutral-wb97xd-1030,CCOCN(C(C)=O)c1c(OC)c(SC)c(SC(F)(F)F)c2nsnc12,-2426.521699,-2426.4943670000002,-0.7437037199907536
37,BTZ-Neutral-wb97xd-1031,CCOCN(C(C)=O)c1c(OC)c(SC)c(Br)c2nsnc12,-4262.559308,-4262.532207,-0.7374182099911559
38,BTZ-Neutral-wb97xd-1032,CCOCN(C(C)=O)c1c(OC)c(SC)c(N(C)C)c2nsnc12,-1825.2657570000001,-1825.2358559999998,-0.8136062100091522
39,BTZ-Neutral-wb97xd-1033,CCOCN(C(C)=O)c1c(OC)c(SC)c([N+](=O)[O-])c2nsnc12,-1895.8325399999999,-1895.8013469999999,-0.8487615300008224
40,BTZ-Neutral-wb97xd-1034,CCOCN(C(C)=O)c1c(OC)c(SC)c(S(=O)(=O)N(C)C)c2nsnc12,-2373.7757420000003,-2373.738941,-1.0013552100053311
41,BTZ-Neutral-wb97xd-1035,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(C)c2nsnc12,-2028.360765,-2028.3373329999997,-0.637584720005018
42,BTZ-Neutral-wb97xd-1036,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(C(F)(F)F)c2nsnc12,-2326.0236879999998,-2325.9970399999997,-0.7250920800006224
43,BTZ-Neutral-wb97xd-1037,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(C#N)c2nsnc12,-2081.280237,-2081.254378,-0.7036233899960508
44,BTZ-Neutral-wb97xd-1038,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(OC)c2nsnc12,-2103.5360170000004,-2103.512574,-0.6378840300135425
45,BTZ-Neutral-wb97xd-1039,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(OC(F)(F)F)c2nsnc12,-2401.227528,-2401.20305,-0.6660463799950276
47,BTZ-Neutral-wb97xd-1040,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(SC)c2nsnc12,-2426.525682,-2426.4990980000002,-0.7233506399926455
48,BTZ-Neutral-wb97xd-1041,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(SC(F)(F)F)c2nsnc12,-2724.195761,-2724.1729219999997,-0.6214491900055419
49,BTZ-Neutral-wb97xd-1042,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(Br)c2nsnc12,-4560.238574,-4560.211224000001,-0.7441934999833302
50,BTZ-Neutral-wb97xd-1043,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(N(C)C)c2nsnc12,-2122.940631,-2122.9107089999998,-0.8141776200046161
51,BTZ-Neutral-wb97xd-1044,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c([N+](=O)[O-])c2nsnc12,-2193.500984,-2193.472576,-0.7729816799910759
52,BTZ-Neutral-wb97xd-1045,CCOCN(C(C)=O)c1c(OC)c(SC(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,-2671.449699,-2671.413838,-0.9757778099956659
53,BTZ-Neutral-wb97xd-1046,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(C)c2nsnc12,-1427.102076,-1427.0741369999998,-0.7602201900016416
54,BTZ-Neutral-wb97xd-1047,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(C(F)(F)F)c2nsnc12,-1724.7771,-1724.7478760000001,-0.7951850399968862
55,BTZ-Neutral-wb97xd-1048,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(C#N)c2nsnc12,-1480.031861,-1479.997756,-0.9279970499987508
56,BTZ-Neutral-wb97xd-1049,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(OC)c2nsnc12,-1502.279659,-1502.2548160000001,-0.6759780299977933
58,BTZ-Neutral-wb97xd-1050,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(OC(F)(F)F)c2nsnc12,-1799.972295,-1799.9454879999998,-0.7294184700051665
59,BTZ-Neutral-wb97xd-1051,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(SC)c2nsnc12,-1825.2641760000001,-1825.2347530000002,-0.8005998299986823
60,BTZ-Neutral-wb97xd-1052,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(SC(F)(F)F)c2nsnc12,-2122.941386,-2122.914403,-0.7342074299930755
61,BTZ-Neutral-wb97xd-1053,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(Br)c2nsnc12,-3958.9808369999996,-3958.9529770000004,-0.7580705999792281
62,BTZ-Neutral-wb97xd-1054,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(N(C)C)c2nsnc12,-1521.680126,-1521.652614,-0.7486015199969484
63,BTZ-Neutral-wb97xd-1055,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c([N+](=O)[O-])c2nsnc12,-1592.255192,-1592.221486,-0.9171402600045077
64,BTZ-Neutral-wb97xd-1056,CCOCN(C(C)=O)c1c(OC)c(N(C)C)c(S(=O)(=O)N(C)C)c2nsnc12,-2070.197902,-2070.161044,-1.0029061799983219
65,BTZ-Neutral-wb97xd-1057,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(C)c2nsnc12,-1630.215107,-1630.190026,-0.6824540100000036
66,BTZ-Neutral-wb97xd-1058,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(C(F)(F)F)c2nsnc12,-1927.8918350000001,-1927.868932,-0.6231906300011452
67,BTZ-Neutral-wb97xd-1059,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(C#N)c2nsnc12,-1683.145474,-1683.120382,-0.6827533199961545
69,BTZ-Neutral-wb97xd-1060,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(OC)c2nsnc12,-1705.391427,-1705.3684670000002,-0.6247415999941359
70,BTZ-Neutral-wb97xd-1061,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(OC(F)(F)F)c2nsnc12,-2003.091354,-2003.0675440000002,-0.6478700999914235
71,BTZ-Neutral-wb97xd-1062,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(SC)c2nsnc12,-2028.384136,-2028.358845,-0.6881681099979505
72,BTZ-Neutral-wb97xd-1063,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(SC(F)(F)F)c2nsnc12,-2326.055238,-2326.0329239999996,-0.607163940007581
73,BTZ-Neutral-wb97xd-1064,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(Br)c2nsnc12,-4162.094862,-4162.069781,-0.6824540099938168
74,BTZ-Neutral-wb97xd-1065,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(N(C)C)c2nsnc12,-1724.7992199999999,-1724.775702,-0.6399247799991099
75,BTZ-Neutral-wb97xd-1066,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c([N+](=O)[O-])c2nsnc12,-1795.362892,-1795.33727,-0.6971746200030521
76,BTZ-Neutral-wb97xd-1067,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C)c(S(=O)(=O)N(C)C)c2nsnc12,-2273.31361,-2273.2775269999997,-0.9818184300113489
77,BTZ-Neutral-wb97xd-1068,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(C)c2nsnc12,-1927.887353,-1927.8637800000001,-0.6414213299984249
78,BTZ-Neutral-wb97xd-1069,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2nsnc12,-2225.5527190000003,-2225.529219,-0.6394350000065333
80,BTZ-Neutral-wb97xd-1070,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(C#N)c2nsnc12,-1980.80635,-1980.780273,-0.709555169999635
81,BTZ-Neutral-wb97xd-1071,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(OC)c2nsnc12,-2003.066306,-2003.0441219999998,-0.6036266400041381
82,BTZ-Neutral-wb97xd-1072,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(OC(F)(F)F)c2nsnc12,-2300.755509,-2300.734691,-0.5664577799989912
83,BTZ-Neutral-wb97xd-1073,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(SC)c2nsnc12,-2326.047445,-2326.022178,-0.6875150699995993
84,BTZ-Neutral-wb97xd-1074,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(SC(F)(F)F)c2nsnc12,-2623.718425,-2623.696786,-0.5887971900013644
85,BTZ-Neutral-wb97xd-1075,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(Br)c2nsnc12,-4459.761393,-4459.738527,-0.6221838599820331
86,BTZ-Neutral-wb97xd-1076,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(N(C)C)c2nsnc12,-2022.464254,-2022.439644,-0.669638099998333
87,BTZ-Neutral-wb97xd-1077,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c([N+](=O)[O-])c2nsnc12,-2093.0324170000004,-2093.007141,-0.6877599600082612
88,BTZ-Neutral-wb97xd-1078,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C(F)(F)F)c(S(=O)(=O)N(C)C)c2nsnc12,-2570.973497,-2570.938393,-0.9551798400012694
89,BTZ-Neutral-wb97xd-1079,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(C)c2nsnc12,-1683.1433170000003,-1683.1170170000003,-0.7156229999997823
91,BTZ-Neutral-wb97xd-1080,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(C(F)(F)F)c2nsnc12,-1980.8069870000002,-1980.78164,-0.6896918700064771
92,BTZ-Neutral-wb97xd-1081,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(C#N)c2nsnc12,-1736.053339,-1736.023821,-0.8031847800014361
93,BTZ-Neutral-wb97xd-1082,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(OC)c2nsnc12,-1758.3202059999999,-1758.2939399999998,-0.714697860002118
94,BTZ-Neutral-wb97xd-1083,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(OC(F)(F)F)c2nsnc12,-2056.006444,-2055.9814079999996,-0.6812295600123753
95,BTZ-Neutral-wb97xd-1084,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(SC)c2nsnc12,-2081.306332,-2081.277954,-0.7721653799993238
96,BTZ-Neutral-wb97xd-1085,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(SC(F)(F)F)c2nsnc12,-2378.978212,-2378.954857,-0.6354895499948406
97,BTZ-Neutral-wb97xd-1086,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(Br)c2nsnc12,-4215.015964,-4214.990477,-0.6935012699968592
98,BTZ-Neutral-wb97xd-1087,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(N(C)C)c2nsnc12,-1777.7283760000003,-1777.698234,-0.8201638200080629
99,BTZ-Neutral-wb97xd-1088,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c([N+](=O)[O-])c2nsnc12,-1848.2781489999998,-1848.248193,-0.8151027599960935
100,BTZ-Neutral-wb97xd-1089,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(C#N)c(S(=O)(=O)N(C)C)c2nsnc12,-2326.232077,-2326.191863,-1.0942229400028691
102,BTZ-Neutral-wb97xd-1090,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(C)c2nsnc12,-1705.3900199999998,-1705.3663190000002,-0.6449042099896315
103,BTZ-Neutral-wb97xd-1091,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(C(F)(F)F)c2nsnc12,-2003.070557,-2003.049366,-0.5766071100012073
104,BTZ-Neutral-wb97xd-1092,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(C#N)c2nsnc12,-1758.315769,-1758.2888739999999,-0.7318129500053079
105,BTZ-Neutral-wb97xd-1093,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(OC)c2nsnc12,-1780.5643910000001,-1780.5387859999998,-0.6967120500073134
106,BTZ-Neutral-wb97xd-1094,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(OC(F)(F)F)c2nsnc12,-2078.2613539999998,-2078.237103,-0.659869709995155
107,BTZ-Neutral-wb97xd-1095,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(SC)c2nsnc12,-2103.555084,-2103.5280780000003,-0.7348332599945888
108,BTZ-Neutral-wb97xd-1096,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(SC(F)(F)F)c2nsnc12,-2401.2321,-2401.2066579999996,-0.6922768200154178
109,BTZ-Neutral-wb97xd-1097,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(Br)c2nsnc12,-4237.2728210000005,-4237.246875,-0.7059906600179148
110,BTZ-Neutral-wb97xd-1098,CCOCN(C(C)=O)c1c(OC(F)(F)F)c(OC)c(N(C)C)c2nsnc12,-1799.9744309999999,-1799.946707,-0.7543700399947579
