Solvent,TPSA_solv,MW_solv,HeavyAtomCount_solv,Gsolv_sol,Dipole_sol,Polarizability_sol,HOMO_sol,LUMO_sol,MaxPartialCharge_sol,MinPartialCharge_sol,LogP_sol
DME_0.1-DOX_0.9,18.46,88.21368150112,6.0,-0.07378698959881594,2.3002000000000002,118.07792,-0.25256080000000003,-0.098342,0.7614474400000001,-0.67464184,0.05288000000000001
DME_0.2-DOX_0.8,18.46,88.39509000688,6.0,-0.07904477789890488,2.3218,119.51783,-0.2525617,-0.0984005,0.7624660600000001,-0.67743166,0.07502
DME_0.3-DOX_0.7,18.46,88.57649851264,6.0,-0.0843025661989938,2.3434,120.95774,-0.2525626,-0.09845899999999999,0.7634846800000001,-0.68022148,0.09716000000000001
DME_0.4-DOX_0.6,18.46,88.7579070184,6.0,-0.08956035449908273,2.365,122.39765,-0.2525635,-0.09851750000000001,0.7645033000000001,-0.6830113,0.1193
DME_0.5-DOX_0.5,18.46,88.95947202480001,6.0,-0.09540234149918154,2.3890000000000002,123.99755,-0.2525645,-0.0985825,0.7656351000000001,-0.6861111000000001,0.1439
DME_0.6-DOX_0.4,18.46,89.16103703120001,6.0,-0.10124432849928036,2.4130000000000003,125.59745000000001,-0.2525655,-0.0986475,0.7667669000000001,-0.6892109000000001,0.1685
DME_0.7-DOX_0.3,18.46,89.38275853824001,6.0,-0.10767051419938904,2.4394,127.35734000000001,-0.25256660000000003,-0.09871900000000002,0.76801188,-0.6926206800000001,0.19556
DME_0.8-DOX_0.2,18.46,89.60448004528001,6.0,-0.11409669989949774,2.4658,129.11723,-0.2525677,-0.0987905,0.76925686,-0.69603046,0.22262
DME_0.9-DOX_0.1,18.46,89.82620155232,6.0,-0.12052288559960642,2.4922,130.87712,-0.2525688,-0.09886199999999999,0.77050184,-0.69944024,0.24967999999999999
DME_0.1-ATN_0.9,23.5235,43.478625619199995,3.1499999999999995,-0.15387391050081248,2.6292999999999997,140.796,-0.2526745,-0.09931999999999999,0.7768256499999999,-0.71764275,0.517346
DME_0.2-ATN_0.8,23.203699999999998,46.42111744704,3.33,-0.1522102911007438,2.62246,140.29080000000002,-0.2526679,-0.099296,0.77651203,-0.71672805,0.5023052
DME_0.3-ATN_0.7,22.8306,49.854024579519994,3.54,-0.15026940180066367,2.61448,139.7014,-0.2526602,-0.099268,0.7761461399999999,-0.7156608999999999,0.4847576
DME_0.4-ATN_0.6,22.457500000000003,53.286931712,3.75,-0.14832851250058354,2.6064999999999996,139.11200000000002,-0.2526525,-0.09924,0.77578025,-0.71459375,0.46721
DME_0.5-ATN_0.5,22.031100000000002,57.210254149120004,3.99,-0.14611035330049196,2.5973800000000002,138.43840000000003,-0.2526437,-0.099208,0.77536209,-0.71337415,0.44715560000000004
